Date,Site,Sets,Species,Adipose Status,Estimated Catch,,,,EXAMPLE,,,,,,,
5/28/2025,Fart Bogg,,Coho,NM,5,,,6/16/2025,10,1343,,,,,,
5/28/2025,Above Johnson Creek,5,Chinook,NM,300,,,6/18/2025,16,2662,,,,,,
5/28/2025,Haapa,2,Chinook,NM,20,,,6/19/2025,7,2462,,,,,,
5/28/2025,Happa Inside,7,Chinook,NM,80,,,6/23/2025,2,1600,,,,,,
5/28/2025,Powerlines,4,Chinook,NM,30,,,Grand Total,164,44321,,,,,,
5/28/2025,Q's Place,4,Chinook,NM,100,,,,,,,,,,,
5/28/2025,Q's Place,,Coho,NM,2,,,,,,,,,,,
5/28/2025,Q's Place,,Cutthroat,NM,1,,,,,,,,,,,
5/28/2025,Smolt Traps,8,Chinook,NM,300,,,,,,,,,,,
5/28/2025,Smolt Traps,,Coho,NM,2,,,,,,,,,,,
5/28/2025,Clubhouse,3,Chinook,NM,20,,,,,,,,,,,
5/28/2025,Clubhouse,,Steelhead,AD,3,,,,,,,,,,,
5/28/2025,Clubhouse,,Steelhead,NM,16,,,,,,,,,,,
5/28/2025,Lower Golf Course,5,Chinook,NM,15,,,,,,,,,,,
5/28/2025,Lower Golf Course,,Coho,NM,28,,,,,,,,,,,
5/28/2025,Lower Golf Course,,Steelhead,NM,5,,,,,,,,,,,
5/28/2025,Upper Forestry,6,Chinook,NM,150,,,,,,,,,,,
5/28/2025,Upper Forestry,,Coho,AD,30,,,,,,,,,,,
5/28/2025,Upper Forestry,,Cutthroat,NM,3,,,,,,,,,,,
5/28/2025,Forestry,15,Chinook,NM,50,,,,,,,,,,,
5/28/2025,Forestry,,Coho,AD,36,,,,,,,,,,,
5/28/2025,Forestry,,Coho,NM,12,,,,,,,,,,,
5/30/2025,Echo,4,Chinook,NM,40,,,,,,,,,,,
5/30/2025,Echo,,Coho,AD,27,,,,,,,,,,,
5/30/2025,Channel Break,11,Chinook,NM,1500,,,,,,,,,,,
5/30/2025,Channel Break,,Coho,AD,18,,,,,,,,,,,
5/30/2025,Channel Break,,Coho,NM,5,,,,,,,,,,,
5/30/2025,Disco Metro,8,Chinook,AD,20,,,,,,,,,,,
5/30/2025,Disco Metro,,Coho,AD,25,,,,,,,,,,,
5/30/2025,Disco Metro,,Steelhead,NM,2,,,,,,,,,,,
5/30/2025,Bush,8,Chinook,NM,150,,,,,,,,,,,
5/30/2025,Bush,,Coho,AD,4,,,,,,,,,,,
5/30/2025,Killdeer Upper,7,Chinook,NM,15,,,,,,,,,,,
5/30/2025,Killdeer Upper,,Coho,AD,150,,,,,,,,,,,
5/30/2025,Killdeer Lower,7,Chinook,NM,30,,,,,,,,,,,
5/30/2025,Killdeer Lower,,Coho,AD,5,,,,,,,,,,,
5/30/2025,Tree,5,Chinook,NM,300,,,,,,,,,,,
5/30/2025,Tree,,Coho,AD,33,,,,,,,,,,,
5/30/2025,Tree,,Coho,NM,4,,,,,,,,,,,
5/30/2025,Virgin Upper,2,Chinook,NM,50,,,,,,,,,,,
5/30/2025,VIrgin Lower,10,Chinook,NM,600,,,,,,,,,,,
5/30/2025,VIrgin Lower,,Coho,AD,41,,,,,,,,,,,
5/30/2025,VIrgin Lower,,Coho,NM,2,,,,,,,,,,,
5/30/2025,Below Swallow,2,Chinook,NM,3,,,,,,,,,,,
5/30/2025,Above Virgin,2,Chinook,NM,0,,,,,,,,,,,
5/30/2025,Across from Killdeer,6,Chinook,NM,250,,,,,,,,,,,
5/30/2025,Across from Killdeer,,Coho,AD,45,,,,,,,,,,,
5/30/2025,Across from Killdeer,,Coho,NM,13,,,,,,,,,,,
6/2/2025,Golf Course,12,Chinook,NM,1300,,,,,,,,,,,
6/2/2025,Golf Course,,Coho,AD,56,,,,,,,,,,,
6/2/2025,Golf Course,,Coho,NM,24,,,,,,,,,,,
6/2/2025,Golf Course,,Steelhead,NM,1,,,,,,,,,,,
6/2/2025,Smolt Trap,10,Chinook,NM,600,,,,,,,,,,,
6/2/2025,Smolt Trap,,Coho,AD,24,,,,,,,,,,,
6/2/2025,Fart Bogg,4,Chinook,NM,100,,,,,,,,,,,
6/2/2025,Fart Bogg,,Coho,AD,37,,,,,,,,,,,
6/2/2025,Colvin Creek,15,Chinook,NM,2000,,,,,,,,,,,
6/2/2025,Colvin Creek,,Coho,NM,6,,,,,,,,,,,
6/2/2025,Colvin Creek,,Coho,AD,12,,,,,,,,,,,
6/2/2025,Big Bar,14,Chinook,NM,1500,,,,,,,,,,,
6/2/2025,Cow Bar Upper,7,Chinook,NM,300,,,,,,,,,,,
6/2/2025,Cow Bar Lower,6,Chinook,NM,9,,,,,,,,,,,
6/2/2025,Chum Cove,9,Chinook,NM,30,,,,,,,,,,,
6/2/2025,Above Colvin Creek,8,Chinook,NM,50,,,,,,,,,,,
6/2/2025,Upper Forestry,4,Chinook,NM,150,,,,,,,,,,,
6/2/2025,Upper Forestry,,Coho,AD,20,,,,,,,,,,,
6/2/2025,Upper Forestry,,Coho,NM,7,,,,,,,,,,,
6/3/2025,Top Big Bar,16,Chinook,NM,800,,,,,,,,,,,
6/3/2025,Stairhole,27,Chinook,NM,2000,,,,,,,,,,,
6/3/2025,Rock Slide,2,Chinook,NM,15,,,,,,,,,,,
6/3/2025,Rock Slide,,Steelhead,NM,1,,,,,,,,,,,
6/3/2025,Yurt,5,Chinook,NM,100,,,,,,,,,,,
6/3/2025,Hagadorns,6,Chinook,NM,20,,,,,,,,,,,
6/3/2025,Sec 1-2 Break,10,Chinook,NM,20,,,,,,,,,,,
6/3/2025,Lower Hagadorns,2,Chinook,NM,0,,,,,,,,,,,
6/4/2025,Top Island North,6,Chinook,NM,1,,,,,,,,,,,
6/4/2025,Top Island North,,Coho,AD,9,,,,,,,,,,,
6/4/2025,Log Island,2,Chinook,NM,25,,,,,,,,,,,
6/4/2025,Log Island,,Coho,AD,13,,,,,,,,,,,
6/4/2025,Log Island,,Cutthroat,NM,1,,,,,,,,,,,
6/4/2025,Disco,6,Chinook,NM,200,,,,,,,,,,,
6/4/2025,Disco,,Coho,AD,56,,,,,,,,,,,
6/4/2025,Disco,,Coho,NM,4,,,,,,,,,,,
6/4/2025,Island Ramp,4,Chinook,NM,350,,,,,,,,,,,
6/4/2025,Island Ramp,,Coho,AD,25,,,,,,,,,,,
6/4/2025,Hog Heaven,7,Chinook,NM,150,,,,,,,,,,,
6/4/2025,Hog Heaven,,Coho,NM,7,,,,,,,,,,,
6/4/2025,Hog Heaven,,Coho,AD,14,,,,,,,,,,,
6/4/2025,Gardani,7,Chinook,NM,250,,,,,,,,,,,
6/4/2025,Gardani,,Coho,NM,5,,,,,,,,,,,
6/4/2025,Don's Run,8,Chinook,NM,12,,,,,,,,,,,
6/4/2025,Hideaway,15,Chinook,NM,200,,,,,,,,,,,
6/4/2025,Across from Hideaway,5,Chinook,NM,150,,,,,,,,,,,
6/4/2025,Black Spot,6,Chinook,NM,40,,,,,,,,,,,
6/4/2025,Bigorgskers,3,Chinook,NM,0,,,,,,,,,,,
6/4/2025,Dead Buck Bay,8,Chinook,NM,150,,,,,,,,,,,
6/4/2025,Ross Creek,7,Chinook,NM,100,,,,,,,,,,,
6/4/2025,Bozeman Trail,5,Chinook,NM,50,,,,,,,,,,,
6/4/2025,Vomit,7,Chinook,NM,1500,,,,,,,,,,,
6/4/2025,Salmon Isles,9,Chinook,NM,1500,,,,,,,,,,,
6/4/2025,Salmon Isles,,Coho,AD,25,,,,,,,,,,,
6/4/2025,Salmon Isles,,Coho,NM,3,,,,,,,,,,,
6/5/2025,Bush,5,Chinook,NM,150,,,,,,,,,,,
6/5/2025,Bush,,Coho,AD,12,,,,,,,,,,,
6/5/2025,Bush,,Coho,NM,7,,,,,,,,,,,
6/5/2025,Salmon Resort,3,Chinook,NM,75,,,,,,,,,,,
6/5/2025,Onchors,2,Chinook,NM,0,,,,,,,,,,,
6/5/2025,School Bus,10,Chinook,NM,700,,,,,,,,,,,
6/5/2025,School Bus,,Coho,AD,12,,,,,,,,,,,
6/5/2025,School Bus,,Coho,NM,4,,,,,,,,,,,
6/5/2025,School Bus P,6,Chinook,NM,70,,,,,,,,,,,
6/5/2025,School Bus P,,Coho,AD,2,,,,,,,,,,,
6/5/2025,School Bus P,,Coho,NM,1,,,,,,,,,,,
6/5/2025,Sandwich,14,Chinook,NM,900,,,,,,,,,,,
6/5/2025,Sandwich Lower,4,Chinook,NM,500,,,,,,,,,,,
6/5/2025,Sandwich Lower,,Coho,AD,2,,,,,,,,,,,
6/5/2025,Auction Barn,7,Chinook,NM,150,,,,,,,,,,,
6/5/2025,Auction Barn,,Coho,AD,7,,,,,,,,,,,
6/5/2025,Auction Barn,,Coho,NM,3,,,,,,,,,,,
6/5/2025,Slick Slot,25,Chinook,NM,25,,,,,,,,,,,
6/5/2025,Slick Slot,,Coho,AD,5,,,,,,,,,,,
6/5/2025,Slick Slot,,Coho,NM,3,,,,,,,,,,,
6/5/2025,Upper Sill,13,Chinook,NM,200,,,,,,,,,,,
6/5/2025,Sill,15,Chinook,NM,60,,,,,,,,,,,
6/6/2025,Above Golf Course,9,Chinook,NM,800,,,,,,,,,,,
6/6/2025,Above Golf Course,,Steelhead,NM,2,,,,,,,,,,,
6/6/2025,Above Golf Course,,Coho,AD,52,,,,,,,,,,,
6/6/2025,Above Golf Course,,Coho,NM,19,,,,,,,,,,,
6/6/2025,Q's Buddy's Place,4,Chinook,NM,3,,,,,,,,,,,
6/6/2025,Bottom Golf Course,5,Chinook,NM,50,,,,,,,,,,,
6/6/2025,Fart Bogg,3,Chinook,NM,15,,,,,,,,,,,
6/6/2025,Fart Bogg,,Coho,AD,12,,,,,,,,,,,
6/6/2025,Echo,4,Chinook,NM,30,,,,,,,,,,,
6/6/2025,Echo,,Coho,AD,10,,,,,,,,,,,
6/6/2025,Channel Break,12,Chinook,NM,600,,,,,,,,,,,
6/6/2025,Channel Break,,Coho,AD,50,,,,,,,,,,,
6/6/2025,Channel Break,,Steelhead,NM,1,,,,,,,,,,,
6/6/2025,Bush,6,Chinook,NM,50,,,,,,,,,,,
6/6/2025,Bush,,Coho,AD,25,,,,,,,,,,,
6/6/2025,Killdeer,6,Chinook,NM,60,,,,,,,,,,,
6/6/2025,Killdeer,,Coho,AD,5,,,,,,,,,,,
6/6/2025,Alder Tree,7,Chinook,NM,100,,,,,,,,,,,
6/6/2025,Virgin,10,Chinook,NM,250,,,,,,,,,,,
6/6/2025,Virgin,,Coho,AD,100,,,,,,,,,,,
6/6/2025,Across Killdeer,4,Chinook,NM,100,,,,,,,,,,,
6/6/2025,Forestry Cutie,4,Chinook,NM,1,,,,,,,,,,,
6/6/2025,Forestry Cutie,,Coho,AD,30,,,,,,,,,,,
6/9/2025,Colvin Creek,12,Chinook,NM,800,,,,,,,,,,,
6/9/2025,Big Bar,15,Chinook,NM,500,,,,,,,,,,,
6/9/2025,Cow Bar,9,Chinook,NM,150,,,,,,,,,,,
6/9/2025,Stairhole,26,Chinook,NM,700,,,,,,,,,,,
6/9/2025,Rock Slide,2,Chinook,NM,40,,,,,,,,,,,
6/10/2025,Golf Course Ramp,3,Chinook,NM,20,,,,,,,,,,,
6/10/2025,Golf Course Ramp,,Coho,AD,15,,,,,,,,,,,
6/10/2025,Golf Course Ramp,,Coho,NM,3,,,,,,,,,,,
6/10/2025,Clubhouse,9,Chinook,NM,250,,,,,,,,,,,
6/10/2025,Clubhouse,,Coho,AD,47,,,,,,,,,,,
6/10/2025,Clubhouse,,Coho,NM,3,,,,,,,,,,,
6/10/2025,Echo,10,Chinook,NM,75,,,,,,,,,,,
6/10/2025,Echo,,Coho,AD,20,,,,,,,,,,,
6/10/2025,Log Island,5,Chinook,NM,50,,,,,,,,,,,
6/10/2025,Log Island,,Coho,AD,10,,,,,,,,,,,
6/10/2025,Log Island,,Coho,NM,2,,,,,,,,,,,
6/10/2025,Disco,6,Chinook,NM,25,,,,,,,,,,,
6/10/2025,Disco,,Coho,AD,18,,,,,,,,,,,
6/10/2025,Disco,,Coho,NM,10,,,,,,,,,,,
6/10/2025,Island Ramp,5,Chinook,NM,250,,,,,,,,,,,
6/10/2025,Hog Heaven,4,Chinook,NM,5,,,,,,,,,,,
6/10/2025,Gardeni,3,Chinook,NM,4,,,,,,,,,,,
6/10/2025,Hideaway,8,Chinook,NM,15,,,,,,,,,,,
6/10/2025,Above Black Spot,5,Chinook,NM,3,,,,,,,,,,,
6/10/2025,Dead Buck Bay,7,Chinook,NM,12,,,,,,,,,,,
6/10/2025,Ross Creek,5,Chinook,NM,0,,,,,,,,,,,
6/10/2025,Vomit,3,Chinook,NM,0,,,,,,,,,,,
6/10/2025,Clubhouse,10,Chinook,NM,30,,,,,,,,,,,
6/10/2025,Clubhouse,,Coho,AD,60,,,,,,,,,,,
6/10/2025,Clubhouse,,Coho,NM,12,,,,,,,,,,,
6/10/2025,Clubhouse,,Steelhead,NM,1,,,,,,,,,,,
6/10/2025,Golf Course Ramp,13,Chinook,NM,40,,,,,,,,,,,
6/10/2025,Golf Course Ramp,,Coho,AD,75,,,,,,,,,,,
6/10/2025,Golf Course Ramp,,Coho,NM,3,,,,,,,,,,,
6/11/2025,Erin's Spot,4,Chinook,NM,30,,,,,,,,,,,
6/11/2025,Erin's Spot,,Coho,AD,1,,,,,,,,,,,
6/11/2025,Sawbill,1,Chinook,NM,1,,,,,,,,,,,
6/11/2025,School Bus P,12,Chinook,NM,350,,,,,,,,,,,
6/11/2025,Lower School Bus,5,Chinook,NM,6,,,,,,,,,,,
6/11/2025,Sandwich,29,Chinook,NM,3000,,,,,,,,,,,
6/11/2025,Sandwich,,Coho,AD,12,,,,,,,,,,,
6/11/2025,Sandwich,,Coho,NM,3,,,,,,,,,,,
6/11/2025,Sandwich,,Cutthroat,NM,1,,,,,,,,,,,
6/11/2025,Auction Barn,13,Chinook,NM,75,,,,,,,,,,,
6/11/2025,Slick Slot,5,Chinook,NM,20,,,,,,,,,,,
6/11/2025,Sill,13,Chinook,NM,45,,,,,,,,,,,
6/12/2025,Golf Course,8,Chinook,NM,200,,,,,,,,,,,
6/12/2025,Golf Course,,Coho,AD,47,,,,,,,,,,,
6/12/2025,Golf Course,,Coho,NM,10,,,,,,,,,,,
6/12/2025,Smolt Traps,7,Chinook,NM,25,,,,,,,,,,,
6/12/2025,Smolt Traps,,Coho,AD,10,,,,,,,,,,,
6/12/2025,Fart Bogg,7,Chinook,NM,100,,,,,,,,,,,
6/12/2025,Clubhouse,21,Chinook,NM,220,,,,,,,,,,,
6/12/2025,Clubhouse,,Coho,AD,120,,,,,,,,,,,
6/12/2025,Clubhouse,,Coho,NM,24,,,,,,,,,,,
6/12/2025,Clubhouse,,Steelhead,NM,4,,,,,,,,,,,
6/12/2025,Forestry,10,Chinook,NM,200,,,,,,,,,,,
6/12/2025,Channel Break,11,Chinook,NM,250,,,,,,,,,,,
6/12/2025,Disco Metro,3,Chinook,NM,0,,,,,,,,,,,
6/12/2025,Bush,7,Chinook,NM,300,,,,,,,,,,,
6/12/2025,Across Killdeer,3,Chinook,NM,60,,,,,,,,,,,
6/12/2025,Killdeer,6,Chinook,NM,50,,,,,,,,,,,
6/12/2025,Tree,5,Chinook,NM,70,,,,,,,,,,,
6/12/2025,VIrgin,13,Chinook,NM,150,,,,,,,,,,,
6/16/2025,Colvin Creek,9,Chinook,NM,400,,,,,,,,,,,
6/16/2025,Cow Bar,4,Chinook,NM,40,,,,,,,,,,,
6/16/2025,Big Bar,14,Chinook,NM,75,,,,,,,,,,,
6/16/2025,Stairhole,26,Chinook,NM,700,,,,,,,,,,,
6/16/2025,Golf Course,5,Chinook,NM,6,,,,,,,,,,,
6/16/2025,Lower Fart Bogg,1,Chinook,NM,0,,,,,,,,,,,
6/16/2025,Upper Clubhouse,5,Chinook,NM,12,,,,,,,,,,,
6/16/2025,Forestry,5,Chinook,NM,15,,,,,,,,,,,
6/16/2025,Forestry,,Coho,AD,14,,,,,,,,,,,
6/16/2025,Clubhouse,7,Chinook,NM,20,,,,,,,,,,,
6/16/2025,Clubhouse,,Steelhead,NM,3,,,,,,,,,,,
6/16/2025,Clubhouse,,Coho,AD,23,,,,,,,,,,,
6/16/2025,Echo,8,Chinook,NM,75,,,,,,,,,,,
6/18/2025,Golf Course,6,Chinook,NM,70,,,,,,,,,,,
6/18/2025,Fart Bogg,3,Chinook,NM,40,,,,,,,,,,,
6/18/2025,Channel Break,7,Chinook,NM,40,,,,,,,,,,,
6/18/2025,Log Island,2,Chinook,NM,10,,,,,,,,,,,
6/18/2025,Island Ramp,2,Chinook,NM,50,,,,,,,,,,,
6/18/2025,Bush,4,Chinook,NM,43,,,,,,,,,,,
6/18/2025,Killdeer,4,Chinook,NM,25,,,,,,,,,,,
6/18/2025,Across Killdeer,3,Chinook,NM,0,,,,,,,,,,,
6/18/2025,7-UP,1,Chinook,NM,0,,,,,,,,,,,
6/18/2025,Tree,2,Chinook,NM,0,,,,,,,,,,,
6/18/2025,Virgin,4,Chinook,NM,11,,,,,,,,,,,
6/18/2025,Salmon Isle,5,Chinook,NM,15,,,,,,,,,,,
6/18/2025,Vomit,4,Chinook,NM,8,,,,,,,,,,,
6/18/2025,School Bus,8,Chinook,NM,150,,,,,,,,,,,
6/18/2025,School Bus,,Steelhead,AD,1,,,,,,,,,,,
6/18/2025,Sandwich,25,Chinook,NM,2000,,,,,,,,,,,
6/18/2025,Auction Barn,8,Chinook,NM,200,,,,,,,,,,,
6/19/2025,Forestry,4,Chinook,NM,20,,,,,,,,,,,
6/19/2025,Forestry,,Coho,AD,9,,,,,,,,,,,
6/19/2025,Forestry,,Cutthroat,NM,1,,,,,,,,,,,
6/19/2025,Clubhouse,9,Chinook,NM,27,,,,,,,,,,,
6/19/2025,Clubhouse,,Coho,AD,30,,,,,,,,,,,
6/19/2025,Clubhouse,,Steelhead,NM,1,,,,,,,,,,,
6/19/2025,Island Ramp,2,Chinook,NM,25,,,,,,,,,,,
6/19/2025,School Bus,13,Chinook,NM,120,,,,,,,,,,,
6/19/2025,School Bus,,Steelhead,AD,1,,,,,,,,,,,
6/19/2025,School Bus,,Coho,AD,4,,,,,,,,,,,
6/19/2025,Sandwich,30,Chinook,NM,2000,,,,,,,,,,,
6/19/2025,Auction Barn,9,Chinook,NM,120,,,,,,,,,,,
6/19/2025,Slick Slot,10,Chinook,NM,150,,,,,,,,,,,
6/23/2025,Sandwich,25,Chinook,NM,1500,,,,,,,,,,,
6/23/2025,School Bus P,7,Chinook,NM,100,,,,,,,,,,,
